iter	Passed	Remaining
0	219	109298
1	320	79749
2	400	66345
3	430	53431
4	496	49152
5	606	49934
6	742	52261
7	783	48182
8	810	44231
9	940	46106
10	1176	52316
11	1302	52981
12	1453	54460
13	1537	53375
14	1566	50647
15	1673	50634
16	1707	48507
17	1762	47208
18	1817	46004
19	1865	44778
20	1917	43735
21	1951	42406
22	2088	43309
23	2172	43083
24	2245	42665
25	2297	41876
26	2322	40685
27	2451	41329
28	2663	43263
29	2700	42307
30	2841	42986
31	3078	45020
32	3104	43939
33	3247	44509
34	3295	43788
35	3354	43230
36	3414	42733
37	3460	42075
38	3489	41251
39	3621	41644
40	3843	43033
41	3877	42280
42	4234	44999
43	4265	44211
44	4291	43389
45	4346	42895
46	4408	42493
47	4485	42242
48	4578	42143
49	4621	41596
50	4650	40942
51	4720	40668
52	4776	40282
53	4817	39788
54	4861	39334
55	4924	39043
56	4969	38619
57	5002	38119
58	5028	37582
59	5150	37768
60	5253	37805
61	5348	37782
62	5372	37264
63	5393	36744
64	5455	36512
65	5515	36267
66	5620	36321
67	5743	36490
68	5777	36086
69	5808	35679
70	5864	35432
71	5924	35216
72	5974	34945
73	6155	35437
74	6184	35045
75	6297	35134
76	6355	34914
77	6482	35071
78	6533	34820
79	6562	34451
80	6680	34557
81	6863	34985
82	6902	34680
83	6927	34307
84	7058	34463
85	7191	34621
86	7273	34525
87	7298	34172
88	7326	33833
89	7419	33801
90	7442	33451
91	7532	33406
92	7638	33430
93	7666	33111
94	7721	32918
95	7809	32863
96	7882	32749
97	7990	32778
98	8024	32502
99	8051	32204
100	8166	32262
101	8370	32661
102	8399	32374
103	8529	32479
104	8691	32698
105	8762	32569
106	8784	32265
107	8835	32068
108	8902	31936
109	8973	31813
110	9062	31761
111	9116	31581
112	9140	31305
113	9176	31071
114	9232	30907
115	9268	30680
116	9290	30412
117	9406	30451
118	9484	30365
119	9506	30104
120	9540	29882
121	9630	29838
122	9694	29713
123	9827	29800
124	9852	29557
125	9875	29311
126	9961	29255
127	10027	29141
128	10147	29183
129	10211	29062
130	10233	28825
131	10285	28675
132	10351	28564
133	10390	28379
134	10473	28316
135	10585	28330
136	10613	28121
137	10723	28128
138	10752	27926
139	10861	27929
140	10955	27894
141	10986	27697
142	11035	27550
143	11111	27470
144	11207	27439
145	11308	27418
146	11338	27228
147	11363	27026
148	11459	26995
149	11493	26819
150	11588	26784
151	11676	26732
152	11702	26541
153	11720	26332
154	11792	26247
155	11857	26146
156	12013	26246
157	12065	26116
158	12094	25938
159	12213	25953
160	12331	25965
161	12426	25927
162	12451	25744
163	12532	25675
164	12578	25538
165	12682	25518
166	12796	25515
167	12822	25339
168	12867	25202
169	12940	25118
170	13017	25044
171	13116	25013
172	13162	24878
173	13190	24713
174	13246	24599
175	13297	24479
176	13429	24506
